,Action,Indie,Adventure,Free to Play,Strategy,RPG,Casual,Simulation,Massively Multiplayer,Early Access,Sports,Racing
Action,1.0,0.6555153150775895,0.5023035337232783,0.20750640397453268,0.44058209064641457,0.4122993997785338,0.38300169974428083,0.4588497033708834,0.1866494830170479,0.2791790252050703,0.2888541680763552,0.42315867658038936
Indie,0.6555153150775895,1.0,0.5820120327792357,0.19318162908156047,0.4150213601933322,0.5090994990738883,0.5681086061098076,0.5014989663176614,0.10554536265510342,0.3202514418434472,0.2548682567020644,0.3202628416740755
Adventure,0.5023035337232783,0.5820120327792357,0.9999999999999999,0.13985676972667874,0.33771182448687354,0.4831086580238827,0.7266044930668643,0.37077167003429184,0.10961107653022908,0.1699784542864853,0.17620149466558668,0.2583950899428855
Free to Play,0.20750640397453268,0.19318162908156047,0.13985676972667874,1.0,0.15466447830921365,0.15436236516600704,0.1440912958918118,0.16446587252378267,0.3934153491703897,0.14153946987281696,0.09437822596213072,0.07383556150320911
Strategy,0.44058209064641457,0.4150213601933322,0.33771182448687354,0.15466447830921365,1.0,0.3686366768676461,0.3542275305550734,0.6045353376432953,0.10696581198379787,0.1785883192281589,0.23341816356076886,0.2671633468766548
RPG,0.4122993997785338,0.5090994990738883,0.4831086580238827,0.15436236516600704,0.3686366768676461,1.0000000000000002,0.1828994809760326,0.27714133512066047,0.15352382883357643,0.150684824945382,0.12510741449106452,0.16934909447312158
Casual,0.38300169974428083,0.5681086061098076,0.7266044930668643,0.1440912958918118,0.3542275305550734,0.1828994809760326,0.9999999999999999,0.44042898159480715,0.0643733939069956,0.15248978940249777,0.18429961413900942,0.22586415700658646
Simulation,0.4588497033708834,0.5014989663176614,0.37077167003429184,0.16446587252378267,0.6045353376432953,0.27714133512066047,0.44042898159480715,1.0000000000000002,0.11802449722856549,0.2396276348009384,0.4055126786551501,0.3605472632869625
Massively Multiplayer,0.1866494830170479,0.10554536265510342,0.10961107653022908,0.3934153491703897,0.10696581198379787,0.15352382883357643,0.0643733939069956,0.11802449722856549,1.0,0.16179165073683346,0.0757302620224734,0.09530629402332762
Early Access,0.2791790252050703,0.3202514418434472,0.1699784542864853,0.14153946987281696,0.1785883192281589,0.150684824945382,0.15248978940249777,0.2396276348009384,0.16179165073683346,1.0,0.1550681774090958,0.14791247627514556
Sports,0.2888541680763552,0.2548682567020644,0.17620149466558668,0.09437822596213072,0.23341816356076886,0.12510741449106452,0.18429961413900942,0.4055126786551501,0.0757302620224734,0.1550681774090958,1.0,0.49858258866552885
Racing,0.42315867658038936,0.3202628416740755,0.2583950899428855,0.07383556150320911,0.2671633468766548,0.16934909447312158,0.22586415700658646,0.3605472632869625,0.09530629402332762,0.14791247627514556,0.49858258866552885,0.9999999999999998
